tweet,label
"@godham93740956 sampai akhir tahun 'anis' janji tdk akan ada kenaikan bbm subsidi/pertalite , tp baru september udah naik 10 rb 😁😄🤪",kontra
@datanesia_id harga harga semakin naik semenjak kenaikan bbm naik,kontra
@suhardi1110 Kenaikan BBM...amat sangat membebani rakyat...segera turunkan lah harga BBM pak....,kontra
BLT BBM sangat bermanfaat bagi masyarakat di tengah kenaikan harga BBM ! Daerah Istimewa Yogyakarta  BLT BBM Yogyakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan,pro
"Antisipasi Dampak Kenaikan BBM, Personil Sat Polairud Sambangi SPBN Pelabuhan Perikanan PengambenganSambil Dialogis Dengan Karyawan.  https://t.co/hExzdVOoDK",pro
"Pastikan Tak Ada Kenaikan Tarif Angkutan Kota, Pemkab Blora Beri Bantuan Subsidi BBM .  Simak selengkapnya di:  .   https://t.co/mZYAgXlvnJ .   #blora  #beritablora  #beritabojonegoro  #beritabojonegorocom  #news  #berita  #pemerintahan  #pemkab  #subsidi  #bbm  #angkutanumum",pro
"Contoh Bukti kepura puraan para politisi yang mengaku partai wong cilik, PDIP Padahal partai wong licik,  sok kagetan,padahal pelopor kenaikan harga BBM yg membuat rakyat &amp; mahasiswa berhari hari. mereka tertawa senang lihat rakyat demo+susah.  Masih kalian dukung jg ? Anjayyy  https://t.co/YrKeYF8ki9",kontra
Aksi Demo Tolak Kenaikan Harga BBM Masih Terjadi  #AksiDemo #TolakKenaikanHargaBBM  https://t.co/i74k5WVTbG,kontra
Pemkot Bogor akan memberikan BLT dampak kenaikan harga BBM berupa voucer pembelian BBM kepada 2.341 sopir angkot dan pengemudi ojol.  https://t.co/GcjACUsyHF,pro
Aksi bersama Gerakan Nasional Pembela Rakyat (GNPR) di kawasan Patung Kuda Jakarta.. (10/Okt/2022)  Dengan Tuntutan: •Tolak Kenaikan Harga BBM •Turunkan Harga-Harga •Tegakkan Supremasi Hukum  https://t.co/BLmKRCa1ZM,kontra
Kenaikan BBM Dorong Inflasi Kota Malang di Bulan September  https://t.co/u7IAbUBdN4,kontra
Sat Reskrim Polresta Deli Serdang Bagikan Bansos Kepada Masyarakat Terdampak Kenaikan BBM  https://t.co/P0efjOgsir,pro
Pemerintah Pastikan Ketersediaan Pangan Pokok Ditengah Kenaikan Harga BBM Subsidi  Kalimantan Tengah #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  https://t.co/FlcRXUmi0F,pro
DPD Apdesi Jawa Barat Instruksikan Para Kades Kawal Penyaluran BLT Kenaikan Harga BBM    https://t.co/Qo3KrJCxau,pro
Pemerintah Pastikan Ketersediaan Pangan Pokok Ditengah Kenaikan Harga BBM Subsidi  Kalimantan Tengah #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  https://t.co/sl2i4Rgh2N,pro
Seruan Aksi Nasional Tuntutan: - Batalkan Kenaikan Harga BBM - Batalkan OMNIBUSLAW UU Cipta Kerja - Naikan Upah 2023 Sebesar 13% Pukul : 10:00 WIB Lokasi : Istana Negara  #batalkankenaikanbbm #batalkanomnibuslaw #naikanupah13%  https://t.co/UnP0V3Lmcc,kontra
Aksi sejuta Buruh di kawasan Patung Kuda Jakarta 🇮🇩  Dengan Tuntutan: •Batalkan kenaikan harga BBM •Turunkan harga² bahan pokok •Tolak RUU KUHP •Cabut UU OmnibusLaw dll.. (10/Okt/2022)  https://t.co/wIgkdbBBbL,kontra
Pemerintah Pastikan Ketersediaan Pangan Pokok Ditengah Kenaikan Harga BBM Subsidi  Kalimantan Tengah #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  https://t.co/zIzycN3L39,pro
