tweet,label
Menpora Zainudin Amali Sebut Tragedi Stadion Kanjuruhan Tak Pengaruhi Rencana Piala Dunia U-20 2023  https://t.co/4Io4cSCjti  https://t.co/btYHO9n8o1,pro
"Hari Ini, TGIPF Panggil PSSI hingga PT LIB untuk Investigasi Tragedi di Stadion Kanjuruhan  https://t.co/3yxeysCrsS  https://t.co/kKd1HtLPuV",pro
"- Korban meninggal dunia dalam tragedi di Stadion Kanjuruhan, Malang, Jawa Timur, bertambah.Pada Se  #berita #nasional   https://t.co/IABhleC4DD",kontra
"Tiba di Malang, Presiden Jokowi langsung jenguk korban luka tragedi Kanjuruhan @jokowi  https://t.co/IxKvD5BSDo",pro
"Meski 6 Tersangka Sudah Ditetapkan Pasca Tragedi Kanjuruhan, Aremania Tetap Minta Tanggung Jawab Ketum PSSI  https://t.co/3YbelB1O8G  https://t.co/kIggGB1tRZ",kontra
"tuan jokowi, mengapa sampeyan tidak meminta maaf dan menystakan bertanggung jawab kepada ratusan korban mati dan atau luka luka dalam Tragedi Kanjuruhan?#dimanarasakemanusiaansampeyan?!",kontra
"Innalillahi… hari ini ada 1 orang lg meninggal krn tragedi kanjuruhan. Rest in peace, rest in power 😭❤️",pro
Identitas Suporter Arema FC yang Lakukan Perusakan saat Tragedi Kanjuruhan Dikantongi Polisi  #aremafc #TragediKanjuruhan  https://t.co/fu8mD7sXAs,pro
"Datangi Rumah Naswa, Korban Tragedi Kanjuruhan, Kapolres Malang Berikan Santunan dan Bantuan Pengobatan  https://t.co/J9Xb4Qv8n8",pro
Korban Tragedi Stadion Kanjuruhan Dapat Dukungan dari Klub Papan Atas Liga Swiss!  https://t.co/fBCyeZKklt  https://t.co/g9WcHymGG9,pro
TGIPF Bilang PSSI Bersikukuh Tidak Bertanggung Jawab Terhadap Tragedi Kanjuruhan – ViVA –  https://t.co/ECN0bBdnIj – #Arenanews  https://t.co/fxYhRDHaqj,kontra
